time_s,nal_type,payload_bytes
22.5,8,6
22.578999999999724,5,6163
22.578999999999724,1,371
22.703999999999724,1,95
22.813000000000102,7,9
22.813000000000102,8,6
22.813000000000102,7,9
22.813000000000102,8,6
22.875,7,9
22.875,8,6
22.96899999999914,5,7869
22.96899999999914,1,397
23.063000000000102,1,127
23.17200000000048,7,9
23.17200000000048,8,6
23.17200000000048,7,9
23.17200000000048,8,6
23.21899999999914,7,9
23.21899999999914,8,6
23.29700000000048,5,6109
23.313000000000102,1,392
23.42200000000048,1,129
23.531999999999243,7,9
23.531999999999243,8,6
23.531999999999243,7,9
23.531999999999243,8,6
23.59399999999914,7,9
23.59399999999914,8,6
23.688000000000102,5,7770
23.688000000000102,1,413
23.781999999999243,1,113
23.89099999999962,7,9
23.89099999999962,8,6
23.89099999999962,7,9
23.89099999999962,8,6
23.938000000000102,7,9
23.938000000000102,8,6
24.01599999999962,5,6159
24.14099999999962,1,92
24.25,7,9
24.25,8,6
24.25,7,9
24.25,8,6
24.313000000000102,7,9
24.313000000000102,8,6
24.406999999999243,5,7848
24.406999999999243,1,396
24.5,1,121
24.610000000000582,7,9
24.610000000000582,8,6
24.610000000000582,7,9
24.610000000000582,8,6
24.67200000000048,7,9
24.67200000000048,8,6
24.735000000000582,5,6107
24.75,1,345
24.860000000000582,1,110
24.96899999999914,7,9
24.96899999999914,8,6
24.96899999999914,7,9
24.96899999999914,8,6
25.031999999999243,7,9
25.031999999999243,8,6
25.125,5,7784
25.125,1,494
25.21899999999914,1,117
25.328999999999724,7,9
25.328999999999724,8,6
25.328999999999724,7,9
25.328999999999724,8,6
25.39099999999962,7,9
25.39099999999962,8,6
25.453999999999724,5,6187
25.46899999999914,1,436
25.578999999999724,1,97
25.688000000000102,7,9
25.688000000000102,8,6
25.688000000000102,7,9
25.688000000000102,8,6
25.75,7,9
25.75,8,6
25.84399999999914,5,7808
25.84399999999914,1,375
25.938000000000102,1,129
26.04700000000048,7,9
26.04700000000048,8,6
26.04700000000048,7,9
26.04700000000048,8,6
26.110000000000582,7,9
26.110000000000582,8,6
26.17200000000048,5,6065
26.188000000000102,1,402
26.29700000000048,1,152
26.406999999999243,7,9
26.406999999999243,8,6
26.406999999999243,7,9
26.42200000000048,8,6
26.46899999999914,7,9
26.46899999999914,8,6
26.563000000000102,5,7778
26.563000000000102,1,445
26.656999999999243,1,163
26.76599999999962,7,9
26.76599999999962,8,6
26.76599999999962,7,9
26.781999999999243,8,6
26.828999999999724,7,9
26.828999999999724,8,6
26.89099999999962,5,6109
26.906999999999243,1,421
